LANG_ID,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A,Name,Macroarea,Latitude,Longitude,Family,Subfamily,Genus
alb,2.0,2.0,5.0,2.0,3.0,,,1.0,,,,,,,,,2.0,1.0,7.0,,1.0,5.0,2.0,2.0,3.0,1.0,4.0,,,2.0,,,,,,3.0,,,1.0,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,,,,,1.0,5.0,3.0,,,,,,,,,2.0,,,,3.0,,,,2.0,,,4.0,3.0,1.0,,,3.0,,,,,2.0,1.0,,,2.0,4.0,4.0,6.0,1.0,1.0,6.0,5.0,1.0,,4.0,,,,2.0,6.0,5.0,3.0,1.0,,,,,,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,,1.0,,2.0,,1.0,2.0,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,1.0,,1.0,4.0,4.0,4.0,,,3.0,Albanian,Eurasia,41.0,20.0,Indo-European,,Albanian
alt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alsatian,Eurasia,48.5,7.5,Indo-European,,Germanic
ast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asturian,Eurasia,43.25,-6.0,Indo-European,,Romance
blr,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,7.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,3.0,5.0,,1.0,7.0,,3.0,3.0,6.0,,2.0,1.0,1.0,,,1.0,,1.0,,,,,,1.0,,,5.0,5.0,5.0,,,,Belorussian,Eurasia,54.0,28.0,Indo-European,,Slavic
bos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bosnian,Eurasia,43.0,18.0,Indo-European,,Slavic
bre,,2.0,,,,,,,,,,,,,,,6.0,,,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,2.0,3.0,2.0,,,,,,,,,,,2.0,,1.0,,,,14.0,13.0,,,1.0,1.0,4.0,18.0,,,14.0,,12.0,,4.0,5.0,5.0,4.0,,,,,,,,,,,,,,,6.0,8.0,1.0,,1.0,1.0,3.0,,,,,,,,,3.0,,,,3.0,,,,2.0,,,,1.0,1.0,,,3.0,,,,,,2.0,,,,,4.0,,7.0,1.0,7.0,,,,2.0,,,,2.0,,,,1.0,,,,,,2.0,1.0,1.0,,,,,,,1.0,1.0,,,1.0,,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,1.0,2.0,1.0,,1.0,,,,,3.0,1.0,1.0,1.0,4.0,4.0,4.0,,,,Breton,Eurasia,48.0,-3.0,Indo-European,,Celtic
bsq,3.0,2.0,5.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,8.0,5.0,2.0,,2.0,2.0,2.0,2.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,4.0,5.0,,3.0,2.0,2.0,1.0,2.0,3.0,2.0,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,1.0,4.0,4.0,7.0,3.0,,,,,,,,,,3.0,,,,4.0,4.0,1.0,11.0,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,5.0,2.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,8.0,6.0,4.0,3.0,1.0,2.0,3.0,,4.0,3.0,3.0,1.0,2.0,6.0,2.0,1.0,2.0,2.0,8.0,2.0,6.0,6.0,2.0,6.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,,,,,,1.0,4.0,2.0,2.0,1.0,1.0,2.0,6.0,6.0,3.0,Basque,Eurasia,43.0,-3.0,Basque,,Basque
bul,,2.0,,,,,3.0,,,,,,,,,,2.0,,,1.0,1.0,,2.0,2.0,1.0,1.0,,1.0,1.0,2.0,,,,,,3.0,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,,,,2.0,,,,2.0,,,,2.0,,,2.0,1.0,,,,3.0,,,,,,,1.0,2.0,,1.0,4.0,3.0,9.0,,7.0,5.0,1.0,,4.0,,,,2.0,,,3.0,1.0,,1.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,,,,3.0,3.0,1.0,1.0,1.0,1.0,2.0,,3.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,3.0,1.0,1.0,4.0,4.0,3.0,,,,Bulgarian,Eurasia,42.5,25.0,Indo-European,,Slavic
cri,2.0,,2.0,4.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,6.0,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Crimean Tatar,Eurasia,45.0,34.0833333333,Altaic,,Turkic
crn,,2.0,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,9.0,3.0,5.0,,,,,,,,,,,,,,,,,7.0,,1.0,6.0,4.0,,6.0,8.0,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,1.0,4.0,,,,,,,,,2.0,,,,,,,9.0,,,,,,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,,2.0,2.0,2.0,2.0,1.0,,1.0,,1.0,,,,,,1.0,2.0,1.0,4.0,4.0,4.0,,,,Cornish,Eurasia,50.3333333333,-5.0,Indo-European,,Celtic
ctl,,2.0,,,,,,,,,,,,,,,2.0,,,1.0,6.0,,,,1.0,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,,,,15.0,,1.0,,1.0,1.0,4.0,19.0,3.0,,15.0,,,4.0,4.0,3.0,5.0,4.0,,,,,,,,,,,,,,,1.0,3.0,6.0,5.0,1.0,1.0,3.0,,,,,,,,,,3.0,,,3.0,,,,,,,,,2.0,,,3.0,,,,,,,,2.0,,1.0,4.0,3.0,,1.0,7.0,,,,,,,,2.0,,,,,,,,,,,1.0,2.0,3.0,4.0,,2.0,1.0,2.0,,,,,1.0,,2.0,,3.0,2.0,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,,1.0,,,,,,6.0,,,4.0,4.0,4.0,,,,Catalan,Eurasia,41.75,2.0,Indo-European,,Romance
cze,,2.0,,,,,,,,,,,,,,,1.0,,,,4.0,5.0,2.0,2.0,,2.0,,,,,,,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,2.0,3.0,,,,2.0,4.0,4.0,20.0,,,5.0,,,,4.0,2.0,7.0,4.0,,,,,,,,,,,,,,,2.0,8.0,1.0,1.0,,,,,,,,,,,,3.0,,,,,,,,2.0,,,,5.0,5.0,,,,,2.0,1.0,,,,,,,,,,1.0,,7.0,5.0,,,4.0,,,,,,,,,,,,,,4.0,,1.0,1.0,4.0,,,,,,,3.0,5.0,,1.0,2.0,,1.0,2.0,,2.0,3.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,6.0,2.0,1.0,4.0,4.0,3.0,,,,Czech,Eurasia,50.0,15.0,Indo-European,,Slavic
dsh,,1.0,,,,,,,,,,,,,,,2.0,,,,4.0,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,2.0,,,,,2.0,6.0,,,,1.0,1.0,4.0,16.0,,,13.0,1.0,,,4.0,1.0,1.0,4.0,,,,,,,,,,,,,,,1.0,6.0,4.0,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,3.0,1.0,,,,,,,,,2.0,,1.0,,,,,1.0,1.0,7.0,,,,4.0,,,,,,,,,,,,,,2.0,,4.0,1.0,4.0,2.0,2.0,1.0,1.0,,,,,,,2.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,6.0,1.0,1.0,4.0,4.0,3.0,,,,Danish,Eurasia,56.0,10.0,Indo-European,,Germanic
dut,2.0,1.0,2.0,2.0,1.0,,,1.0,,,,,,,,,2.0,,,2.0,4.0,5.0,2.0,2.0,,1.0,4.0,,,,,,,,2.0,,2.0,,,,,,,,,,,2.0,,,,,2.0,6.0,,,,1.0,1.0,4.0,16.0,6.0,,13.0,15.0,,,4.0,8.0,7.0,1.0,15.0,9.0,,,4.0,4.0,1.0,11.0,,,,,,,1.0,4.0,3.0,1.0,,,,,,,,,,,,2.0,,,,,,,,2.0,6.0,,4.0,1.0,1.0,,,,,,,,3.0,2.0,3.0,1.0,2.0,1.0,,3.0,9.0,,6.0,1.0,,2.0,4.0,,,,,,,3.0,1.0,,,,,,2.0,,4.0,1.0,4.0,,2.0,1.0,1.0,2.0,5.0,1.0,5.0,,1.0,7.0,1.0,1.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,6.0,,1.0,5.0,5.0,5.0,,,,Dutch,Eurasia,52.5,6.0,Indo-European,,Germanic
eng,2.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,3.0,4.0,8.0,5.0,2.0,,1.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,,1.0,7.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,,,2.0,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,1.0,4.0,4.0,1.0,1.0,5.0,3.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,6.0,4.0,4.0,1.0,1.0,3.0,,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,9.0,1.0,7.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,6.0,6.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,6.0,1.0,1.0,4.0,4.0,3.0,1.0,2.0,2.0,English,Eurasia,52.0,0.0,Indo-European,,Germanic
est,,2.0,,,,,,,,,,,,,,,2.0,,,,1.0,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,2.0,8.0,2.0,1.0,,,,,,,,,,,,2.0,,,,,,,,2.0,,,4.0,5.0,5.0,,,,,,,,,,1.0,,,8.0,,2.0,1.0,1.0,7.0,,,,,,,,,,,6.0,1.0,,,,,,2.0,,1.0,3.0,1.0,2.0,,,,2.0,2.0,,,,,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,5.0,1.0,1.0,3.0,4.0,3.0,,,,Estonian,Eurasia,59.0,26.0,Uralic,Finno-Ugric,Finnic
far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faroese,Eurasia,62.0,-7.0,Indo-European,,Germanic
fin,2.0,6.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,2.0,,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,,,,,2.0,2.0,1.0,1.0,2.0,,1.0,,,2.0,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,2.0,8.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,6.0,4.0,4.0,5.0,5.0,3.0,,2.0,3.0,2.0,1.0,1.0,6.0,2.0,3.0,1.0,3.0,8.0,4.0,3.0,1.0,2.0,7.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,6.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,4.0,2.0,1.0,1.0,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,3.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,Finnish,Eurasia,62.0,25.0,Uralic,Finno-Ugric,Finnic
fre,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,8.0,5.0,1.0,,,4.0,2.0,1.0,7.0,3.0,1.0,,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,,1.0,7.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,,,,15.0,,2.0,,1.0,1.0,4.0,19.0,4.0,,15.0,,,3.0,4.0,5.0,3.0,4.0,,,,,,,,,,,,,,,1.0,3.0,5.0,4.0,1.0,1.0,3.0,1.0,5.0,2.0,3.0,4.0,2.0,5.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,6.0,6.0,4.0,1.0,2.0,3.0,,1.0,3.0,1.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,7.0,1.0,7.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,5.0,3.0,5.0,1.0,1.0,2.0,,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,2.0,3.0,French,Eurasia,48.0,2.0,Indo-European,,Romance
fri,,1.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,7.0,1.0,1.0,3.0,6.0,2.0,3.0,1.0,1.0,,,1.0,,1.0,,,,,,6.0,1.0,,5.0,5.0,5.0,,,,Frisian,Eurasia,53.0,5.0,Indo-European,,Germanic
gae,,1.0,,,,,,,3.0,4.0,8.0,5.0,,,,,2.0,,,,2.0,1.0,2.0,1.0,,1.0,4.0,4.0,3.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,9.0,3.0,,,,,,,,,,,,,,,,,,1.0,,1.0,6.0,4.0,,2.0,8.0,1.0,4.0,,,,,,,,,,,,3.0,3.0,,,,2.0,2.0,3.0,6.0,,,,1.0,4.0,,,,,,,,,2.0,,,,,,,5.0,,6.0,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,3.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,,1.0,,1.0,,,,,1.0,6.0,1.0,1.0,4.0,4.0,4.0,,,,Gaelic (Scots),Eurasia,57.0,-4.0,Indo-European,,Celtic
gag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,8.0,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Gagauz,Eurasia,46.3333333333,28.6666666667,Altaic,,Turkic
ger,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,8.0,5.0,2.0,,1.0,2.0,2.0,1.0,7.0,2.0,4.0,,,,2.0,,,1.0,1.0,1.0,2.0,2.0,1.0,,2.0,3.0,2.0,,1.0,7.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,,,2.0,6.0,,,,1.0,1.0,4.0,16.0,6.0,,13.0,15.0,,,4.0,8.0,7.0,1.0,15.0,9.0,,,4.0,4.0,1.0,11.0,,,,,,,1.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,6.0,4.0,3.0,1.0,2.0,3.0,,1.0,3.0,1.0,1.0,5.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,1.0,1.0,6.0,5.0,1.0,,4.0,2.0,1.0,1.0,2.0,,,3.0,,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,5.0,1.0,1.0,7.0,1.0,1.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,6.0,1.0,1.0,5.0,5.0,5.0,2.0,2.0,2.0,German,Eurasia,52.0,10.0,Indo-European,,Germanic
glc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galician,Eurasia,43.0,-8.0,Indo-European,,Romance
hun,2.0,2.0,5.0,2.0,5.0,1.0,,1.0,3.0,4.0,8.0,5.0,2.0,,3.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,,1.0,,,,,2.0,2.0,1.0,1.0,2.0,,1.0,,,2.0,1.0,,,,1.0,4.0,4.0,2.0,3.0,15.0,10.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,2.0,8.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,5.0,2.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,6.0,4.0,2.0,1.0,1.0,3.0,,3.0,3.0,2.0,1.0,6.0,6.0,3.0,1.0,1.0,3.0,8.0,4.0,2.0,1.0,3.0,7.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,2.0,7.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,2.0,,,,,1.0,,2.0,1.0,3.0,5.0,3.0,2.0,2.0,3.0,Hungarian,Eurasia,47.0,20.0,Uralic,Finno-Ugric,Ugric
ice,,1.0,,,,,,,3.0,4.0,8.0,5.0,,,,,2.0,1.0,7.0,3.0,,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,6.0,,,,1.0,1.0,4.0,16.0,,,13.0,1.0,,,4.0,1.0,1.0,4.0,,,,,,,,,,,,,,,2.0,8.0,1.0,1.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,,,,,3.0,2.0,3.0,2.0,6.0,,3.0,3.0,4.0,,,,,,,,,,1.0,2.0,,4.0,,6.0,1.0,3.0,7.0,,,,4.0,,,,,,,5.0,1.0,,2.0,1.0,2.0,1.0,2.0,,2.0,1.0,4.0,2.0,2.0,1.0,2.0,,,,,,,2.0,,1.0,2.0,,2.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,4.0,4.0,3.0,,,,Icelandic,Eurasia,65.0,-17.0,Indo-European,,Germanic
